symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600000,浦发银行,-11.000666365806238,-1.16891,94.4844,-95.8402
sh600004,白云机场,-15.679286718037122,0.522534,60.263,-63.5389
sh600005,武钢股份,12.50353591399382,0.34782599999999997,154.984,84.8746
sh600006,东风汽车,42.67360046318324,9.97442,332.189,72.1867
sh600007,中国国贸,-17.544987486304215,0.990712,41.5705,-83.7202
sh600008,首创股份,3.0591713711494264,3.07692,143.737,56.2951
sh600009,上海机场,-14.689690043541361,-0.525526,75.6047,-164.004
sh600010,包钢股份,1.326929953372489,-0.495868,169.789,-104.753
sh600011,华能国际,-4.646644186370845,3.2467500000000005,82.8977,-8.618
sh600012,皖通高速,11.024190827496737,5.20521,145.812,53.7622
sh600015,华夏银行,-8.995644506311159,-1.66003,130.203,-99.1382
sh600016,民生银行,1.203897769047955,-1.13101,114.411,130.856
sh600017,日照港,13.01278130801418,3.10345,154.7,51.3121
sh600018,上港集团,-7.039487710168214,0.43859600000000004,28.3665,-84.0985
sh600019,宝钢股份,-0.3642283459132124,1.649,90.1531,-39.7905
sh600020,中原高速,2.5313555760567716,2.3088,120.188,-60.2745
sh600021,上海电力,3.07538425410437,6.9327700000000005,277.437,26.6141
sh600022,山东钢铁,11.578402896337664,4.00943,108.322,53.4251
sh600023,浙能电力,-10.678196171858149,0.8816120000000001,843.794,-85.5427
sh600026,中海发展,-2.482106096112319,0.369004,237.184,-87.0315
sh600027,华电国际,-0.32328194264418897,2.17654,132.584,55.9586
sh600028,中国石化,-0.03868513596709544,-0.395778,36.4426,-138.229
sh600029,南方航空,-3.865484940976893,-0.42417799999999994,174.941,-95.1395
sh600030,中信证券,3.2914233180652905,0.720288,163.632,75.7976
sh600031,三一重工,5.193831469951229,2.6262600000000003,137.864,66.0549
sh600033,福建高速,-5.629002151859362,1.42349,157.763,-55.6853
sh600035,楚天高速,-7.932047586827213,1.64384,189.387,-80.4745
sh600036,招商银行,-12.140538517757191,-1.46893,74.6987,-96.9227
sh600037,歌华有线,-10.240432352669107,1.4975,128.679,-82.5122
sh600038,中直股份,-5.198237235687309,2.12643,273.746,-51.7997
sh600039,四川路桥,10.278146146029544,3.84615,386.161,64.3222
sh600048,保利地产,5.101416125403775,0.9332379999999999,392.536,77.5994
sh600050,中国联通,0.5207123257321173,1.0344799999999998,196.852,4.7371
sh600051,宁波联合,-7.683083993734751,2.70701,233.789,2.47273
sh600052,浙江广厦,9.098219396275557,1.27551,178.588,79.1471
sh600054,黄山旅游,4.088373907998752,0.671835,253.294,78.2081
sh600055,华润万东,38.6139284047614,9.995289999999999,225.23,75.2156
sh600056,中国医药,-5.864640219860211,1.00956,146.576,-82.8817
sh600057,象屿股份,-0.8586789899058521,4.20223,270.381,24.0741
sh600058,五矿发展,-7.741781631815875,1.05949,141.761,-76.7869
sh600059,古越龙山,4.20235344610587,0.9569380000000001,152.048,75.4511
sh600060,海信电器,8.49522078876539,3.7037,145.01,69.4989
sh600061,中纺投资,-11.691234790519033,0.678571,211.79,-86.5452
sh600062,华润双鹤,3.918788699160237,3.10307,176.393,62.6071
sh600063,皖维高新,5.164264284473977,5.34918,227.885,-7.55918
sh600064,南京高科,-2.3597374855921798,0.711575,139.181,16.3584
sh600066,宇通客车,-17.362574237522846,-1.06383,82.0534,-100.565
sh600067,冠城大通,-6.389071132982314,0.558659,285.596,-85.8956
sh600068,葛洲坝,-2.780123365526804,1.5280099999999999,316.496,-66.875
sh600070,浙江富润,-7.6858776171181535,-0.122624,206.183,-90.4838
sh600073,上海梅林,6.159096683127744,4.17616,234.101,28.0467
sh600074,保千里,18.441148861737897,8.185649999999999,384.485,65.8157
sh600075,新疆天业,-6.265292874579395,1.5739800000000002,178.372,-79.4434
sh600077,宋都股份,11.76907459455717,4.68187,139.923,44.9766
sh600078,澄星股份,5.653549118285193,2.99786,174.4,59.8068
sh600079,人福医药,-9.92740807375132,0.8389719999999999,161.356,-73.9566
sh600080,金花股份,7.056311322610023,2.47525,257.972,48.3772
sh600081,东风科技,32.11102301937912,9.96016,367.593,67.7799
sh600082,海泰发展,3.2044118004921565,2.0,228.085,64.9983
sh600084,中葡股份,6.070783714385627,1.6949200000000002,84.8014,70.4559
sh600085,同仁堂,-3.9165195800816726,4.77419,132.879,2.61267
sh600088,中视传媒,-12.638715223357686,-1.32353,213.906,-95.3342
sh600089,特变电工,-3.2487131830294107,1.09689,193.452,-72.3314
sh600090,啤酒花,-5.318669021432336,0.6138389999999999,623.493,-59.7066
sh600093,禾嘉股份,1.5332296035496578,3.73775,204.706,5.64742
sh600094,大名城,-4.012189826656307,1.33482,79.7721,-80.6959
sh600095,哈高科,-10.678469587392325,1.44804,291.604,-70.0116
sh600096,云天化,6.628116671177208,3.06268,177.688,48.6169
sh600097,开创国际,-8.00610110502645,1.07527,127.818,-84.0936
sh600098,广州发展,-8.250487767122337,1.17302,39.3592,-78.1913
sh600100,同方股份,-2.750180396187119,3.3253,402.437,-41.1773
sh600101,明星电力,14.0839768983052,2.85941,216.157,63.789
sh600103,青山纸业,11.210970131374323,8.32095,292.328,48.4559
sh600104,上汽集团,-11.141481549837714,-0.35517,44.3493,-91.6072
sh600105,永鼎股份,7.267483873994967,3.8484,340.233,23.825
sh600106,重庆路桥,8.45860715033161,6.03248,259.104,56.0962
sh600107,美尔雅,-2.7558723631814326,0.52356,346.848,-59.6244
sh600108,亚盛集团,0.9036679368860242,0.383142,265.241,79.4304
sh600109,国金证券,-4.432613161749041,0.394945,183.652,-80.1205
sh600110,中科英华,1.7808321303448091,0.576037,298.708,77.8355
sh600111,北方稀土,-4.166196262545144,3.37132,205.85,-51.473
sh600112,天成控股,-3.6917445626325796,3.7533499999999997,479.55,-22.8668
sh600113,浙江东日,4.9799405343485255,3.89805,166.083,27.5699
sh600114,东睦股份,-1.3326607394804222,1.19795,166.435,57.5789
sh600115,东方航空,-11.04000346861006,0.7722009999999999,150.894,-85.0544
sh600116,三峡水利,2.0938826348626436,1.3655499999999998,214.851,-55.3697
sh600118,中国卫星,3.0119894656833357,3.3492800000000003,325.967,33.6866
sh600119,长江投资,12.434027835990639,6.80989,1238.13,58.7172
sh600120,浙江东方,-2.0395070576708045,2.14552,101.03,-43.4897
sh600121,郑州煤电,6.737339155409834,1.06952,254.475,81.7105
sh600122,宏图高科,1.9724391530065186,6.58989,365.806,16.5995
sh600123,兰花科创,-17.839554749179914,0.756144,216.736,-87.6019
sh600125,铁龙物流,1.1310348978300155,2.08855,216.97,-58.8774
sh600126,杭钢股份,11.619980227097027,3.01263,122.958,69.1397
