symbol,name,big in(%),small in(%),price(%),big/price,turnover
sh601288,农业银行,32.6,0.5,2.45,24.2588,13.31
sz000815,*ST美利,184.0,23.6,15.0,65.5332,12.27
sz002557,洽洽食品,65.1,10.7,6.12,177.762,10.64
sh600735,XR新华锦,26.7,5.9,2.51,222.225,10.64
sh600010,包钢股份,16.9,0.4,2.02,320.062,8.37
sz002326,永太科技,33.1,5.5,4.07,1236.29,8.13
sh600825,新华传媒,9.4,2.4,1.19,834.44,7.9
sz002589,瑞康医药,16.2,7.3,2.09,192.321,7.75
sh600733,S前锋,80.0,16.3,10.71,248.176,7.47
sz002019,亿帆鑫富,49.5,-7.1,7.14,483.597,6.93
sz002095,生 意 宝,203.2,44.7,30.0,219.318,6.77
sh603169,兰石重装,17.8,1.7,2.64,4361.85,6.74
sz002421,达实智能,199.7,62.2,30.01,8.19374,6.65
sh600703,三安光电,50.9,-0.2,7.71,369.617,6.6
sz002284,亚太股份,100.5,56.1,16.02,132.177,6.27
sz002374,丽鹏股份,43.9,-5.6,7.27,385.667,6.04
sz000557,*ST广夏,66.7,27.2,11.43,493.772,5.84
sh601818,光大银行,41.8,0.0,7.18,97.7399,5.82
sz002625,龙生股份,174.5,22.3,30.01,82.8857,5.81
sz002442,龙星化工,171.7,24.8,30.12,677.2,5.7
sz002541,鸿路钢构,36.6,1.3,6.54,404.908,5.6
sz000979,中弘股份,48.1,5.3,8.72,250.278,5.52
sh600802,福建水泥,87.2,7.1,15.94,318.887,5.47
sz000590,*ST古汉,40.7,10.7,7.52,355.486,5.41
sz002131,利欧股份,161.0,70.7,30.0,1.30035,5.37
sz000800,一汽轿车,24.5,1.1,4.61,593.277,5.31
sz000028,国药一致,22.6,-1.6,4.31,92.685,5.24
sh600199,金种子酒,18.9,-0.4,3.62,256.289,5.22
sh600724,宁波富达,43.2,3.3,8.37,331.051,5.16
sz002566,益盛药业,41.0,0.8,7.96,300.822,5.15
sz002457,青龙管业,35.3,0.0,6.85,492.476,5.15
sh601001,大同煤业,18.2,6.6,3.7,153.684,4.92
sz002376,新北洋,146.5,104.0,30.03,6.2746,4.88
sh600638,新黄浦,23.9,8.3,4.94,263.506,4.84
sz000656,金科股份,39.5,4.4,8.17,846.7,4.83
sz002475,立讯精密,25.9,-5.9,5.37,59.6686,4.82
sz002044,江苏三友,86.2,3.7,18.0,1157.06,4.79
sh600841,上柴股份,36.9,3.2,7.91,159.555,4.66
sz002661,克明面业,27.8,-3.0,6.16,178.571,4.51
sh600665,天地源,25.9,4.0,5.74,1093.83,4.51
sz002488,金固股份,133.2,16.7,30.01,305.597,4.44
sh600882,华联矿业,27.4,-6.5,6.22,245.822,4.41
sz000530,大冷股份,39.2,5.1,8.97,679.647,4.37
sz002360,同德化工,32.2,-0.2,7.39,261.365,4.36
sz002412,汉森制药,70.2,10.9,16.17,167.323,4.34
sz000755,山西三维,109.1,18.4,25.28,1279.4,4.32
sh600671,天目药业,20.5,6.4,4.8,201.601,4.27
sz000725,京东方Ａ,23.4,0.5,5.52,419.704,4.24
sz000607,华媒控股,12.0,3.3,2.87,1090.9,4.18
sh600391,成发科技,50.2,3.8,12.14,440.13,4.14
sz002030,达安基因,28.9,1.2,6.99,611.515,4.13
sh603555,贵人鸟,41.9,6.6,10.18,377.835,4.12
sz000859,国风塑业,30.7,14.4,7.49,444.177,4.1
sh600420,现代制药,30.4,-0.3,7.45,197.415,4.08
sz000633,合金投资,121.8,21.1,29.96,479.303,4.07
sz002192,*ST路翔,10.0,0.7,2.5,270.373,4.0
sh600410,华胜天成,19.9,0.6,4.97,1008.91,4.0
sh601336,新华保险,19.7,0.2,4.92,345.671,4.0
sz002315,焦点科技,82.4,14.4,20.58,580.716,4.0
sh600146,大元股份,7.3,13.7,1.88,213.138,3.88
sh600673,DR东阳光,11.6,1.9,3.0,457.36,3.87
sz002646,青青稞酒,23.1,-1.4,5.98,163.3,3.86
sz002702,海欣食品,81.9,13.0,21.3,460.966,3.85
sh600193,创兴资源,32.1,1.6,8.37,473.587,3.84
sz002711,欧浦钢网,61.5,4.5,16.12,1753.11,3.82
sh600171,上海贝岭,100.6,9.3,26.49,235.036,3.8
sh600771,广誉远,52.8,-2.1,13.95,209.475,3.78
