symbol,name,big in(%),small in(%),price(%),turnover,big/price
sz002465,海格通信,2.7,0.7,-0.58,912.825,9999
sh603588,高能环境,17.6,2.5,-0.89,274.047,9999
sh601600,中国铝业,2.4,0.0,-3.46,278.166,9999
sz002725,跃岭股份,2.4,-5.6,-1.73,985.294,9999
sh600446,金证股份,0.5,1.3,-0.26,164.347,9999
sh600405,动力源,3.3,-1.0,-0.5,807.955,9999
sh603898,好莱客,7.2,-1.0,-2.96,1322.92,9999
sz002654,万润科技,11.9,3.0,-0.17,345.749,9999
sh603601,再升科技,4.2,-2.5,-0.2,1300.43,9999
sz000597,东北制药,11.9,-4.9,0.0,348.967,9999
sz000802,北京文化,1.8,1.0,-2.91,495.166,9999
sh600138,中青旅,3.5,1.8,-1.55,371.314,9999
sz002364,中恒电气,1.1,2.1,-1.33,334.409,9999
sz002384,东山精密,0.1,-1.8,-1.76,283.848,9999
sh601989,中国重工,0.9,0.0,-3.9,529.978,9999
sz002284,亚太股份,3.4,1.6,-1.08,973.349,9999
sz002578,闽发铝业,6.3,-4.4,-2.05,793.726,9999
sz000410,沈阳机床,1.3,0.6,-1.6,1143.48,9999
sz002372,伟星新材,5.2,-2.5,-1.53,142.555,9999
sh600725,云维股份,3.4,0.3,-0.33,683.138,9999
sh600435,北方导航,3.0,0.0,-1.24,638.546,9999
sz002390,信邦制药,0.4,1.3,-1.6,447.346,9999
sz000950,建峰化工,3.2,-5.7,-0.1,249.162,9999
sz000709,河北钢铁,0.8,-0.1,0.0,371.322,9999
sz002651,利君股份,5.1,4.4,-0.29,701.711,9999
sh600750,江中药业,0.3,-1.8,-1.59,211.014,9999
sz002153,石基信息,6.2,1.6,-1.97,214.446,9999
sz000615,湖北金环,2.9,-1.3,-1.0,699.969,9999
sz002075,沙钢股份,1.7,0.1,-1.4,112.251,9999
sh603609,禾丰牧业,1.4,2.6,-1.76,2609.52,9999
sz002487,大金重工,2.1,0.5,-0.62,577.178,9999
sz000656,金科股份,14.3,1.0,-2.41,1101.19,9999
sh600740,山西焦化,0.5,-0.8,-0.12,312.998,9999
sz002130,沃尔核材,1.5,0.6,-2.73,2602.12,9999
sh601010,文峰股份,3.5,0.2,-0.8,742.97,9999
sh600307,酒钢宏兴,1.3,0.5,-2.28,432.282,9999
sh600262,北方股份,8.9,0.4,0.0,214.746,9999
sz001696,宗申动力,0.5,-1.0,-0.35,417.528,9999
sz000088,盐 田 港,0.3,-1.3,-1.25,180.91,9999
sh603002,宏昌电子,1.2,-1.7,-1.57,1164.66,9999
sz000430,张家界,5.9,-0.1,0.0,351.723,9999
sz002551,尚荣医疗,4.6,-3.3,-1.69,416.176,9999
sh601106,中国一重,1.2,0.0,-2.09,1102.4,9999
sz002333,罗普斯金,2.2,-3.7,-0.62,397.174,9999
sh600482,风帆股份,0.5,1.3,-0.85,743.633,9999
sh601668,中国建筑,7.2,0.0,-3.77,339.076,9999
sz000096,广聚能源,3.0,1.3,-3.46,666.553,9999
sz002013,中航机电,7.1,-2.3,-0.41,409.305,9999
sh600415,小商品城,6.8,0.0,-1.26,516.442,9999
sh600068,葛洲坝,1.7,0.2,-2.4,544.296,9999
sh600728,佳都科技,2.7,-1.3,-0.67,333.279,9999
sh601169,北京银行,1.0,0.0,-1.77,352.244,9999
sh601003,柳钢股份,5.8,-3.7,-1.39,79.8856,9999
sz002113,天润控股,6.7,4.8,-0.94,638.96,9999
sh600052,浙江广厦,8.9,-0.3,-0.25,259.657,9999
sz002200,云投生态,11.3,2.6,-0.08,446.971,9999
sz000651,格力电器,2.3,0.2,-0.26,230.949,9999
sz000554,泰山石油,5.9,-1.0,-0.29,908.893,9999
sh600661,新南洋,1.9,0.1,-2.54,699.49,9999
sz002041,登海种业,2.9,-0.8,-0.87,351.681,9999
sz002230,科大讯飞,1.1,1.0,-2.36,526.223,9999
sh603636,南威软件,1.7,3.3,-1.14,1033.18,9999
sh600678,四川金顶,0.3,1.9,-0.7,298.926,9999
sz002337,赛象科技,1.2,1.3,-0.51,524.362,9999
sz002397,梦洁家纺,0.3,-2.7,-0.92,477.425,9999
sz002657,中科金财,5.9,2.1,-6.76,671.838,9999
sh603088,宁波精达,8.6,2.7,-0.75,1013.75,9999
sh600570,恒生电子,12.6,-0.1,-1.16,304.3,9999
sh600647,同达创业,0.5,1.3,-0.63,174.163,9999
sh601005,重庆钢铁,1.8,0.4,-0.93,679.436,9999
sh600763,通策医疗,2.3,2.9,-0.95,53.2202,9999
sh600060,海信电器,5.2,-0.3,-0.59,329.54,9999
sh600654,中安消,0.4,0.8,-0.87,772.095,9999
sz000812,陕西金叶,6.1,3.5,0.0,1404.64,9999
sz000736,中房地产,1.9,7.1,-1.04,445.034,9999
sh600895,张江高科,4.2,-0.2,-0.72,312.858,9999
sh600871,石化油服,3.8,-0.3,-1.66,802.498,9999
sh600488,天药股份,0.5,-2.3,-0.58,230.94,9999
sh600822,上海物贸,0.1,-2.0,-0.73,524.532,9999
sz000926,福星股份,11.9,1.6,0.0,645.065,9999
sz002088,鲁阳股份,3.9,-0.6,-0.23,428.682,9999
sz002324,普利特,0.7,1.6,0.0,339.953,9999
sz002391,长青股份,3.4,-4.1,-0.56,383.643,9999
sz002508,老板电器,12.0,5.4,-0.74,104.029,9999
sh600328,兰太实业,4.6,-1.6,-1.72,773.366,9999
sh601008,连云港,0.9,-0.3,-1.2,553.262,9999
sh600218,全柴动力,2.8,-2.6,-0.66,331.115,9999
sz000547,闽福发Ａ,1.3,-0.3,-1.39,383.531,9999
sz002241,歌尔声学,4.2,0.1,-0.48,350.116,9999
sh600019,宝钢股份,2.0,0.2,-1.24,137.842,9999
sh600333,长春燃气,4.9,1.0,0.0,1157.55,9999
sh600284,浦东建设,0.3,-0.9,-0.31,445.706,9999
sz002151,北斗星通,4.4,1.7,-1.62,1684.44,9999
sz000983,西山煤电,0.8,-2.6,-0.23,213.865,9999
sz002492,恒基达鑫,2.6,-0.1,0.0,371.265,9999
sh600966,博汇纸业,2.0,1.5,0.0,755.52,9999
sz000751,锌业股份,3.0,-0.7,-0.23,623.832,9999
sh600114,东睦股份,9.8,-15.5,-0.44,229.521,9999
sh600283,钱江水利,0.4,0.1,-0.06,479.472,9999
sh603993,洛阳钼业,3.3,-0.7,-0.75,168.224,9999
sz000930,中粮生化,1.4,1.0,-1.67,1357.16,9999
sh600993,马应龙,1.8,3.3,-0.82,367.024,9999
sz002470,金正大,9.3,0.3,-0.82,186.38,9999
sz000663,永安林业,3.9,-3.1,-0.54,490.16,9999
sh600370,三房巷,1.6,1.4,-0.09,227.031,9999
sh600783,鲁信创投,3.6,-0.1,0.0,283.157,9999
sh600035,楚天高速,1.1,1.6,-1.64,428.515,9999
sz002239,金 飞 达,2.9,1.8,-1.8,360.039,9999
sz002195,二三四五,3.4,0.3,-2.83,1139.74,9999
sh603128,华贸物流,3.6,-0.1,-0.78,763.192,9999
sh600207,安彩高科,5.0,-0.3,-1.79,943.32,9999
sh600803,新奥股份,1.1,1.7,-1.0,333.984,9999
sh600021,上海电力,1.8,0.1,-3.67,605.259,9999
sz002385,大北农,4.0,1.1,-1.71,892.072,9999
sh600029,南方航空,0.6,0.4,-3.33,239.839,9999
sh600343,航天动力,2.4,1.0,-1.94,655.208,9999
sz002477,雏鹰农牧,1.4,4.4,-2.96,531.141,9999
sz000020,深华发Ａ,3.4,1.1,0.0,1211.28,9999
sz000678,襄阳轴承,2.7,-6.0,-0.72,278.873,9999
sh603099,长白山,1.3,0.9,-2.72,1185.3,9999
sh601001,大同煤业,1.5,-1.7,-0.87,213.956,9999
sh600961,株冶集团,5.6,3.4,0.06,437.666,93.33
sz002030,达安基因,4.3,1.0,0.05,551.668,86.0
sz002354,天神娱乐,13.3,2.4,0.17,417.763,78.24
sh601000,唐山港,5.4,0.2,0.07,430.634,77.14
sh600819,耀皮玻璃,11.9,-0.7,0.18,192.014,66.11
sh600613,神奇制药,2.6,-2.4,0.04,420.929,65.0
sz002472,双环传动,4.7,1.9,0.08,930.402,58.75
sh600867,通化东宝,6.6,-0.6,0.13,148.461,50.77
sz002526,山东矿机,7.5,2.7,0.21,1108.09,35.71
sz002299,圣农发展,4.1,3.1,0.12,121.184,34.17
sz002566,益盛药业,18.4,3.6,0.54,1053.01,34.07
sh600595,中孚实业,16.2,-1.1,0.48,239.031,33.75
sz000404,华意压缩,3.3,-3.6,0.1,443.655,33.0
sh600017,日照港,4.4,-0.3,0.16,275.959,27.5
sz000978,桂林旅游,13.6,-2.0,0.53,374.278,25.66
sh600639,浦东金桥,2.0,-1.4,0.08,223.852,25.0
sh603611,诺力股份,4.9,-2.8,0.2,1282.87,24.5
sh600619,海立股份,13.6,-0.6,0.58,218.107,23.45
sz002489,浙江永强,7.6,1.1,0.34,221.559,22.35
sh600781,辅仁药业,8.9,-0.6,0.4,286.629,22.25
sh600731,湖南海利,4.9,-2.8,0.23,281.399,21.3
sz000557,*ST广夏,11.0,4.0,0.59,876.873,18.64
sh601558,华锐风电,2.0,1.8,0.11,1341.47,18.18
sz002132,恒星科技,6.6,4.5,0.37,534.417,17.84
sh600403,大有能源,6.7,-3.7,0.39,49.9346,17.18
sh600808,马钢股份,12.9,0.7,0.77,267.275,16.75
sz000815,*ST美利,81.0,14.5,4.99,26.6387,16.23
sz002646,青青稞酒,12.8,0.0,0.79,213.579,16.2
sh600879,航天电子,8.4,0.2,0.53,979.947,15.85
sh601101,昊华能源,6.1,2.4,0.4,265.682,15.25
sz002314,雅致股份,3.2,-0.6,0.21,269.348,15.24
sh600010,包钢股份,9.8,0.1,0.65,361.963,15.08
sz000599,青岛双星,2.6,-1.7,0.18,812.665,14.44
sh600295,鄂尔多斯,22.9,1.4,1.6,317.091,14.31
sz000809,铁岭新城,10.3,-2.3,0.72,506.168,14.31
sz002475,立讯精密,4.5,0.5,0.34,151.063,13.24
sh600322,天房发展,3.7,-0.7,0.28,502.902,13.21
sz000961,中南建设,2.6,-3.4,0.2,158.419,13.0
sh600733,S前锋,64.6,10.5,5.0,352.919,12.92
sz000858,五 粮 液,5.3,0.2,0.42,171.603,12.62
sh600526,菲达环保,1.0,0.6,0.08,1279.57,12.5
sz002185,华天科技,2.9,-2.1,0.25,491.051,11.6
sh600248,延长化建,7.9,-3.2,0.7,175.354,11.29
sz002457,青龙管业,15.9,-1.9,1.42,1089.61,11.2
sz002108,沧州明珠,10.2,1.6,0.92,514.112,11.09
sz000530,大冷股份,3.2,1.5,0.29,888.226,11.03
sh600671,天目药业,6.4,5.5,0.58,275.292,11.03
sz002415,海康威视,10.4,0.1,0.96,151.96,10.83
sz002719,麦趣尔,3.9,0.2,0.36,710.446,10.83
sh600439,瑞贝卡,2.9,-1.0,0.27,481.743,10.74
sh603698,航天工程,2.9,-1.2,0.27,906.459,10.74
sh600590,泰豪科技,10.3,0.7,0.97,580.57,10.62
sz002628,成都路桥,6.3,-0.6,0.6,572.982,10.5
sh600008,首创股份,3.9,-0.2,0.41,210.688,9.51
sh600398,海澜之家,1.8,1.4,0.19,86.3256,9.47
sz002393,力生制药,7.2,2.3,0.76,220.911,9.47
sz002421,达实智能,94.3,5.2,10.02,95.0825,9.41
sz002555,顺荣三七,94.0,0.8,10.0,388.435,9.4
sh600425,青松建化,9.2,0.0,0.99,277.209,9.29
sh600280,中央商场,92.0,4.6,10.02,455.316,9.18
sz000755,山西三维,8.1,1.7,0.89,1146.67,9.1
sz002412,汉森制药,8.0,1.5,0.88,233.793,9.09
sh600261,阳光照明,5.5,1.9,0.61,517.231,9.02
sh600222,太龙药业,5.7,1.9,0.64,933.528,8.91
sz002310,东方园林,5.6,-0.7,0.63,419.822,8.89
sh600203,福日电子,14.3,0.1,1.61,435.62,8.88
sz000861,海印股份,10.2,-2.1,1.16,294.357,8.79
sz002403,爱仕达,8.6,1.6,0.98,318.995,8.78
sh600829,人民同泰,7.2,0.0,0.86,147.282,8.37
sz002395,双象股份,2.4,-2.1,0.29,336.403,8.28
sz000017,深中华A,6.7,1.6,0.81,609.309,8.27
sh600811,东方集团,4.6,0.2,0.56,359.423,8.21
sz002618,丹邦科技,14.3,-1.1,1.75,390.331,8.17
sz000917,电广传媒,11.2,0.2,1.39,916.581,8.06
sz002570,贝因美,3.9,1.9,0.49,302.485,7.96
sz002732,燕塘乳业,5.5,-1.3,0.7,2003.41,7.86
sz000601,韶能股份,8.9,-1.1,1.14,550.927,7.81
sz002275,桂林三金,8.1,-0.1,1.04,173.179,7.79
sh600637,百视通,5.1,-0.1,0.66,320.537,7.73
sz002491,通鼎互联,77.2,3.8,10.0,20.4331,7.72
sh600133,东湖高新,2.3,0.5,0.3,1169.13,7.67
sz000420,吉林化纤,9.2,1.1,1.21,531.372,7.6
sz002480,新筑股份,6.3,-1.8,0.83,450.225,7.59
sh600695,绿庭投资,0.6,-1.0,0.08,340.903,7.5
sz000952,广济药业,6.5,9.4,0.87,590.326,7.47
sh600267,海正药业,1.3,0.2,0.18,220.868,7.22
sh600537,亿晶光电,7.3,1.6,1.03,438.416,7.09
sz002360,同德化工,9.7,-2.8,1.37,495.736,7.08
sz002066,瑞泰科技,9.2,2.2,1.3,412.641,7.08
sz002083,孚日股份,8.7,-1.6,1.23,469.58,7.07
sh600965,福成五丰,7.4,1.6,1.06,383.319,6.98
sz002215,诺 普 信,69.0,22.5,9.99,19.3589,6.91
sz002171,精诚铜业,68.2,26.8,9.99,14.5247,6.83
sz000713,丰乐种业,4.5,-2.7,0.66,528.405,6.82
